NodeName,Score
CEACAM3,2359.666667
ERP29,1410
XAB2,374.1818182
PNPO,2471
WDR17,779.2666667
CHSY1,1116.571429
TMEM97,815
CSN2,59
POT1,731.8
ADH5,1086.5
FAM110A,196.5
EXPH5,1251.25
IL23A,1654
MED12,435.5172414
IQGAP2,813.375
PRODH,2393.5
TRAPPC2,1829
TBC1D25,1220.833333
KDM8,3508.5
BUD13,2120.666667
EREG,270
AGAP2,1571.75
PID1,617.2
OPA3,1626
ATG9A,2726
JPH3,174
SYN1,1302.111111
CPEB3,1877.666667
RAB5C,45
MYL7,4097
CYP2S1,278.625
KCTD8,237
KCNJ14,1623.666667
CYP2C9,2845.333333
GABBR1,245
TANC2,793.7058824
ANKUB1,1744
WRN,1582.846154
CD226,197
FEZF1,2813
HS2ST1,503.3333333
ALDH5A1,472
ADCY1,1323.555556
SPATA5L1,2455
LIPA,1753.6
RIN2,965.25
ZHX3,1716.666667
TXNDC12,1444
TATDN2,495.75
MLKL,2126.333333
SPRR2A,130
GPR149,280
PDC,141
SMC1A,932.6153846
ZNF644,691.1666667
EIF5,118.2
HPRT1,54
AADAC,1018.5
HOXA11,1759.142857
DHRS4L2,361
MYH1,896.2777778
XRN1,873.5
BRWD3,1077.35
SRRM1,2000.8
JAG2,1057
SRM,2779.333333
MEOX1,247.3333333
CCL27,5297
ACAP1,821.8333333
PSMG2,442.25
TNFRSF1A,1913
RPUSD4,364
APOA2,151
ECSIT,148.5
RNASE13,94.5
THBD,1602
COLEC12,658.8
CA6,632.6666667
MAP3K10,1062.375
REV3L,1121.473684
DGKQ,148
NOD1,231.2857143
FAM102A,3364.333333
ROPN1,468.5
WARS2,2884
ACVR2B,785.6
PDZD4,1328.2
VWF,409.2777778
N6AMT1,5297
DYRK2,617
USP5,1429
KDM4A,1310.875
AKAP6,646.5
KLRF1,117
NRIP1,156.5454545
TRAF3,406.6666667
TBR1,523.7142857
TAF9,1851.833333
BHLHE22,2553
PKIA,2404.5
KRT6A,1209
ENHO,260
PRICKLE4,100.5
PCYT1A,2206.5
POU3F2,2402.5
C12orf42,89
UNC45B,2251.5
UQCRC2,1557.4
KCNG2,83
RAB23,1485.5
UBXN2A,995
NOC3L,1236.333333
CYP2B6,837.6666667
CYP4F22,726
ALOX5,28
PRDX5,599.3333333
CNOT2,1782.666667
TMEM95,1595
S100A12,130
LNX2,1254.5
RRAD,2399
CLMP,3435
PLIN2,1406.25
CHRNA10,1355
SSTR2,116.5
MMP19,128
MUC12,744
BEND7,2793.6
KRTAP10-8,830.8
PREX1,674.4666667
ALDH1A1,1242.7
TECPR2,727.5
CNKSR1,185.2
HOXC9,4759
MRPS12,142
KHSRP,1102.2
CCT7,360.6666667
KIAA0586,834.2307692
CXCR1,237.4
MAPRE3,708.1666667
ARC,58.5
JMJD6,595.25
HDGF,1145.75
USP26,1316.166667
HADH,995.2857143
CLK4,2095.4
SLC7A5,1349.75
MRPS5,964
ZNF99,1001.727273
RAB2B,881.5
PRDX3,2179.666667
RPS12,1813.333333
MYH15,852.75
BMI1,1481
TIMD4,2106.333333
SZRD1,434
CTSF,1603
HPS5,589.8333333
HP,490
USP8,1009.142857
GPNMB,969.5
ZNF829,411.5714286
CLCA2,989.4285714
ENTPD5,1841.666667
PDZD8,3363.333333
CCDC91,1091
MMP25,1653.75
TRA2B,1503.666667
ATG14,345
TXLNA,248.3333333
CUBN,683.4193548
ZBTB48,1310.6
CCNB1IP1,3342.75
EIF4EBP1,102
FASTKD5,772.25
NDST4,1057.571429
PLD3,162.25
GRB10,1422.166667
GALNT9,967.25
TGFBI,1025.285714
CTH,153.5
TAGAP,1653.666667
CBX6,227
CHERP,116.1666667
IRF1,758.25
OR14I1,1016.833333
PAK1,1887.2
QPCTL,954.2857143
MTMR7,1533.8
ABCC8,1221.416667
MOB1B,114.4
XYLT1,1111
CCDC24,216.3333333
SMC3,786.1428571
FBXW11,71.33333333
GPS2,108
ZFX,1467.5
OXCT1,2117.25
HAUS6,1737.285714
SLC43A3,137.4
SCO1,3435
CRHR2,1184.2
CENPI,1991
SERPINB10,588
LRRCC1,763.3333333
TPPP2,1722.333333
SP7,63.25
FCGR2A,1647.666667
RALYL,387.75
TYW3,82.25
LPAR6,470
SERPINB1,374
LYRM7,331
ESPL1,746.3684211
SIRT4,196
PPP3CA,1579.833333
HSP90AB1,847.7272727
CD2,457.25
DCTN5,667.6666667
UAP1L1,326.5
TMSB15B,124
MCAM,938.8333333
RNF19A,918.2727273
FAM171A1,158.8461538
UQCRC1,236
TMEM38A,331
PDHB,67.5
AKAP9,620.6785714
GABRA5,1106.5
NCAN,1551.461538
CARD10,1293.2
EPHA5,417.6923077
CCIN,1075.5
CD320,188
SSR2,812.4
LATS1,1419
FSTL1,1850.333333
ACBD5,1401.25
METTL7B,132
COQ7,1457.5
CMA1,227
TRAPPC3L,1846.333333
RHBDF2,1086.333333
DNAJC3,1232.5
ST8SIA6,171.3333333
PARVG,880
UCK2,548.5
MFRP,833.5
EIF1,161
STIP1,1809.4
CPT1B,1476.25
SMARCAL1,1912
HLA-DQB2,1794.5
PEX11A,4759
TP53RK,293
TLR10,1675.142857
POTEG,1175.166667
NCAPH2,910
KIF20A,1307
DCBLD2,634.25
PLEKHA5,1353.5
HAUS1,97
ROS1,971.9047619
ZNF665,983.5
KCNE2,168.5
PNPLA5,1584.5
ZAR1,799.5
ZCWPW1,1715.666667
LRRC31,1373.222222
DNAH3,832.7586207
POGK,115.2
PXDNL,793.3809524
DCAF11,2606.25
BLOC1S5,212
KCNQ5,1288.444444
DGKE,1043
TIMM44,236.5714286
USP42,628.8
PKLR,968.8888889
RTN4RL2,46
IFNAR2,614.5
UBQLNL,1016.5
NWD1,472.5833333
MATR3,133.3333333
PCDH18,1367.2
NUDT22,86
ACBD4,235
GUCY2D,1366
RHPN2,1672.333333
GIMAP6,145.5
FAM167A,472.4
ACSBG1,1407.909091
SLC14A1,1812
CDC25C,223.8333333
KLHL41,1028.333333
CD5L,978.2
GPR39,1075
SH3BGRL,589
CAPNS2,2813
CMKLR1,667.6666667
PPP1CB,116.25
PPIL1,2614.333333
TRNT1,1261.6
NR2F6,211
PIK3C2A,778.7777778
CCM2L,1657.333333
GNG2,142.75
BRD8,1762
HNF4A,711.5
TUBB4A,919
PNO1,4759
SEMA3C,1101.875
CSN3,873.5
UCK1,3435
SFRP1,1941.5
RBMS2,1725
ATP8B2,608.3333333
CDH2,1307.75
USP46,115.6666667
SMARCA5,1571.571429
NEK4,633.6666667
PIP5K1B,1679.666667
PKDREJ,1159.153846
IKBKB,905.5
GSTA1,615.5
ATP7A,1102
RFC5,199.5
TNK1,1720
SPATA24,2107.333333
OTUB1,152.6666667
PRIM2,191.5
TNFRSF21,1094.625
PIGP,92
ARHGEF10L,565.1
COX10,946.5
SLC9A2,686.1538462
NINL,451.6428571
SDS,121.5
NEUROG3,1595
WNT1,3124
PRKG1,1049.125
BBC3,65
GFI1,402
OGDHL,573.3636364
PKD1L1,828.72
ZCCHC13,1435.75
DNAH5,622.7666667
GSTM3,360
UBE2O,838.875
SLC26A6,795.4
PDK1,2869
PRSS3,892.5
FGF23,471.125
ARSB,168.3333333
GRIK4,639.6666667
STAB1,783.4444444
ARHGEF33,1502.333333
GNG12,2813
LINGO1,1267.75
MED13,637.6666667
SRGN,86
SPRED1,978
MLXIPL,256.5
GJB2,92.5
HSDL2,1334.6
EPB41,1898.4
AHCTF1,862.5555556
MT3,4759
ZBTB11,881.4285714
PRKCSH,420
KRTAP19-7,43
ANKRD2,633.3333333
FNBP4,2010.714286
ACAT2,179.75
TJP1,903.375
CORIN,773.6
C1orf74,1129
CMBL,38
TCF20,1241.6
CRNN,1141.142857
MEP1A,1062
PLCXD2,574.75
TCN1,1261.5
SCTR,1602
CABP2,163.6666667
C7orf50,204
HEG1,1284.214286
BHLHE40,1323
PSMB5,2994.333333
MECOM,1190.076923
ADTRP,1496.4
DPCD,112
OR4K1,1936.666667
ZAR1L,4759
CD55,2662.5
AMELX,3124
PTK2B,1744.7
SLCO2A1,1052.083333
FGF6,682.3333333
PLCH2,169
PPY,3085
DCAF6,1306.9
SET,634.3333333
CYFIP1,948.5
KIF19,1545.833333
RNF123,1552.444444
CES1,1891.666667
RRAS,114
FMNL3,1438.75
YBX3,2062
DEFB119,1762
SLC39A14,521
RALGAPB,1259.75
BHLHE41,3239.5
PHOSPHO1,5297
B4GALNT4,3239.5
CD99L2,81.5
VAC14,1254.833333
CAPRIN1,522.4285714
BIRC2,2607.5
DCK,2139
SMAD9,569
PPP6R3,1319
AFF3,290.9375
SGSH,1336.5
SEMA3D,475.8
SRSF1,2124.75
POU2F2,618.9230769
OR4K5,70.5
TBC1D12,1673
PLAT,2632
FZD3,1873.8
CD34,2867.833333
KCNAB3,209.3333333
FERMT3,691.5714286
KRTAP5-4,151
FRZB,359.3333333
SMPD1,393
XRCC5,2318.333333
KRT39,41
NME8,1390.25
NELFCD,714.25
PTGER4,1564.4
HDAC3,531.4285714
RAB11FIP4,803.125
PLA2G1B,30
DLG3,590.2727273
ICA1,1986.666667
GPR176,69
NCOA4,1888.2
CLDN19,185.5
RIC8B,984.75
VEZF1,242.5
LONRF3,1157
LPAR1,778
MAD2L1,1587.25
BASP1,2681
DNAJC13,956.8095238
SLC9C2,1459.25
TBP,643.2
LCE3C,63.5
EPAS1,339.8333333
OXLD1,156
IFNL1,728.25
FOXK1,1736.5
DNAJC10,1456.4
MEPCE,2483
SRSF12,227
DMRTC1,5297
SRP68,124.4
PRH1,674
ARHGAP5,872.5833333
ZSWIM1,1033.5
DPYS,276.6666667
PAK4,2470.5
CPT2,221
DAD1,873
MAU2,108
SLC6A14,419.5
AHCYL2,1310
RBM46,1855.333333
SRRM2,1202.315789
BCR,1036
FBXW7,880
MON1A,182
OSMR,207.8333333
KLHL1,822
COMMD8,86
AGO4,906.8571429
GPR37L1,3150.5
RBM48,101.5
CCNF,465.6
RP1,791.64
MYH3,1331
RASL11B,102
PTPRF,738.8888889
ABCF1,635.8333333
MTRF1,1723
RRS1,297
OGFOD1,1483.4
SNX29,1295.4
TANGO6,1628.5
MPND,1255.666667
NKAIN2,353.2857143
TDP1,1945
STX10,106
UXS1,1605.666667
SGIP1,230.7777778
SLC5A8,161
CRYAB,593
WWC2,1463.5
UBP1,1514.4
RAB24,872
TCAP,103.5
TXNDC5,1594.5
CCNJL,1819.6
PWP2,775.8
RASA1,851.1428571
TMEM64,1409
PHRF1,717.6666667
TWIST1,1271.5
LRRC4C,1123.8
MMP20,455
GOLGA1,993.8181818
DONSON,1419.666667
EPS8L2,1074
CENPW,2409.5
GLG1,1882
ACBD7,109.5
PAX3,1162.363636
POSTN,325.4
DTD1,724
UGT1A10,117.5
KIAA0319,1361.727273
PXN,4366
LONRF1,915.4
EPB41L3,983.2857143
DGKK,1399.363636
NUAK1,918.25
SYNDIG1L,129
LLGL1,165
KAT6A,969.15
PXDN,637.75
TNFAIP8L2,1976
EIF3G,270.5714286
IL17RC,69
CNTNAP4,424.3333333
EGR4,515.6666667
CYP7B1,355
ADH1A,1651.6
GZMB,3435
SCO2,57
SV2C,2805.5
PRKAG1,773.5
MEI1,1247.583333
KIF14,1133
TM9SF1,208.3333333
FOXN2,1826.333333
TUBB2A,521.75
SREK1,1691.285714
EIF2B3,1577.571429
KRT8,673.3333333
ING3,2662
TBX20,204.75
DNAJC12,3435
CREBL2,1447.25
TCF3,200.75
EDRF1,1150.833333
FGF4,75
FHOD3,845
RASA4,3435
GIT1,1421.5
DDIT4,163
L3MBTL1,944.125
NAGS,3085
DNAH7,910.875
OVCA2,83
SENP5,1406
ST8SIA3,725
IGFL1,131
MYL4,3304
RAP1A,5297
PPP5C,1533.285714
SLC22A11,335.1428571
LBP,1686.8
CLK2,1911.6
CBX1,618.4285714
ZZEF1,1425.153846
HOOK2,341.4444444
EPHA2,998
TBPL2,2759.166667
VEZT,1882
HIGD1A,202.6666667
KIAA1210,871.3157895
GDF6,334.6666667
RPL7A,2813
NAALADL1,1475
CYP27C1,2493.333333
SOX5,508.7142857
IGFBP4,1747.5
SUFU,176
SLC17A7,107.25
CUL2,863
ADNP2,1197.8
IPO4,1287.125
RPS6,862.7777778
TYROBP,39
LDHD,56
CS,1492
VBP1,87
CCNO,37
FAM126B,2550.5
IL13RA1,560.25
VASP,1830.333333
TMEM230,1602
SLC25A2,1382.25
SLC1A1,541
NDUFB4,987
PSG6,785.5454545
BMP7,293
TAS2R46,1850
ABHD16B,128
SALL4,878.3076923
CNGA2,736.5
APBA1,1003.375
CRTC2,449.8333333
NUCB1,2500
RGPD3,1254.090909
MAP3K4,1231.5
PAIP2,44
IZUMO4,1653.333333
TRIB3,2507
MMP11,1171.75
ZNF583,1842.2
FNIP1,1877
CENPE,835.7391304
G6PC2,1338
HOXD8,321.5
ACTG2,2846.4
NEK9,389.7777778
CELA3B,431.3333333
LEMD3,2683.5
CMTM5,1749.75
PDGFB,161
TNNI3K,2759
EIF4E3,4759
ITIH6,1170.133333
UTP15,3122.5
FBXW5,4759
CDC27,2423
TEX264,88
GDI1,139.8333333
DCAF10,109.5
UCP2,892.3333333
RDH16,111
CCDC146,982
HSPG2,860
KDM1A,2828.8
NACC1,121.5
SSTR1,43.5
REPS1,1947
CABP1,82
PRKACG,1235.25
RAP1B,2853.5
CCPG1,1485.6
DNAJC5B,1206
RPL4,1001
SLC22A23,142
STRA8,165.5
ADAM11,166.25
CHI3L2,592.3333333
WSB1,507.1428571
PPP6C,2679
ABCC5,813.0769231
CCL20,1523.8
CEACAM8,1561.8
ACSL1,2315.666667
EXOC4,1073
POLR1E,2079.333333
IYD,618.4
NUDT4,3239.5
ETV6,510
TRPA1,1345.75
TMED3,64
PKD2L1,1138.6
GLS,2202.8
C4BPB,1577.5
ZP2,1891.166667
ARID3A,2400.5
CCL19,5297
MAN2A1,1545.7
GNAT3,1512
IL1RL1,1308.75
CD83,317
DOC2B,30
PHACTR1,864.7272727
AGPAT2,3435
PITPNM1,177.375
CARHSP1,102
LMCD1,1724.333333
CORO1B,1720
RSAD1,1014.5
MYCBP2,742.8484848
FYN,344.6
NUFIP2,1022.222222
RIN3,975.9230769
PLCL1,1015.818182
E2F3,1858.285714
KRT79,1130.333333
VPS13A,997.6363636
GNB2,72
UNCX,404
LCE4A,216.5
EIF3I,275.8
A4GALT,212
LIF,1210.333333
ROPN1B,1925.4
POFUT1,1207.8
NDFIP1,158
GCM1,1471.857143
GPR158,800.1333333
MPHOSPH10,1156.6
SNX9,3373.666667
TTC38,1269
ZC2HC1B,356
PTPRC,815.2857143
RIOK1,1522
MAPK8IP2,439.5
KMO,1772
MSI2,1284
DROSHA,1157.111111
TBXAS1,435.6666667
KCNIP2,1236
FOXI1,1726.5
C4orf33,284
SLC30A9,937.75
PPFIBP1,1979
ATF6,1646.375
MAN1A1,1196
PRKCD,1113
PHTF2,1185.555556
VANGL2,936.7
BPIFB1,374
OSBP2,1188.5
NUP107,1145.2
PDP2,696.8
SMC6,1074.6
MSRA,92.66666667
SLC4A11,874
C9,1842
RBM14,404.5
RBM28,1081.625
ART5,1537.6
OTOG,280.75
NKTR,1157
SLC9A3,2749
CRB2,1210.333333
GPC1,1246.666667
DPYD,1982.5
LATS2,978.5
TTLL6,886.625
CACNG1,1708.333333
MAPK6,1232.571429
TTN,298.9152542
HSPA4L,1326.6
PERP,198
PAAF1,816.25
TTC27,1077
MDGA1,898.2857143
HCRTR1,1215.833333
ACVR1C,1976.666667
BTK,890.7
DNPEP,301.3333333
RBM44,533.7142857
LMO1,55
KCNJ12,697.3333333
TAX1BP3,1086
EHF,63
KCNJ4,773.75
DHX30,1219.5
AFP,1757
GUCY2C,1333.428571
CDH7,941.7692308
PKHD1,1088.666667
CCNG2,80.5
PPP2R1A,476.3333333
UBA2,1606
CCDC180,1039.352941
PRKDC,660
SNRPD2,1820.857143
FBP2,2198.333333
PAPLN,1336.75
SEMA4F,782.4444444
CYP1B1,1761.666667
MCM3,248.6666667
LUC7L3,1888.666667
RPS23,34
FLYWCH2,247
FAM114A2,531.5
GPD1,806.5
CIB1,3435
C6orf15,46
NTRK3,750.5
SH2B3,485.5
DSCAML1,740.0526316
UGT1A1,1104.833333
NXN,3230.75
MED13L,963.125
GNGT2,293
CYB561A3,1729.666667
RFC4,2136
TFG,1919.25
ATP13A5,485.875
OTX1,2451
KLHL7,686.5384615
GAR1,107
SORBS3,908.5
MSN,761.9166667
IL6ST,841.125
POM121L2,195.125
CNTROB,1686.333333
CC2D1A,653.375
ATF6B,812.5
CATSPERG,1475.571429
CHRNA9,661.6666667
RGS1,2704.5
C1QTNF9B,883.6666667
FOXJ3,1648.333333
ATP11C,887.5333333
PURG,2267.875
KDR,1316.222222
C19orf47,1280.2
GUCA1C,1686.428571
CDK5RAP3,873
PCDHB3,905.6666667
KCNH6,963.0833333
NUDCD2,1862.333333
SMARCD2,863
RNF113B,235.5
PTGIR,82
SLC12A1,2378.4
SLC1A7,1869.3
GALT,232
GTPBP1,153.6666667
GPR32,2778.666667
CYP4A22,1040
CHRNA7,2656
SARS2,1885.4
EDEM1,132.3333333
ARMC8,427.375
RANBP9,1445.75
CTDP1,387.6
MAN2A2,933.6
BBS4,989.5
MEF2C,340.7
RBM41,849.6666667
DOCK5,1097
SATL1,594.1111111
ELAVL4,3302.5
CNGB1,1626.272727
CCDC40,2018.428571
EXOSC9,1484
CAMK1,1394
RNF20,651.875
TTLL4,1213.1
SMARCB1,84
MEOX2,357.8333333
AFAP1,108.3333333
MGAT5,1195.444444
GSTM5,1642.363636
SNW1,994.25
PPID,1619
GABRP,1694
CYP3A4,722
GM2A,419
RP1L1,510.2142857
COA5,120
C19orf53,209.5
FNTA,5297
TTYH2,973.1111111
NLGN3,680.5
IL2RA,462.6666667
CXCR4,3154.4
TRA2A,1869.333333
GABARAPL1,34
KCNK6,247
NUDT8,151
FDFT1,612
FLT4,352.5
C5orf63,1074
IPP,352.25
NME2,2184
RNF214,1498.857143
SAMD4B,465.5
NDC80,276
PBX3,105
EPHA6,1192.636364
CHPF2,218.5
ADAMTS12,1431.9
RGS13,1881.666667
COL9A1,719.3333333
ELP4,147
CRISP3,3435
DHX38,1407.75
USP7,1905.571429
DOCK3,1401.153846
BIRC6,957.64
TANK,198.3333333
SMAD5,28
FKBP15,1479.181818
CHST3,121.3333333
AKT1,132
YIPF6,990.75
WRAP73,1008
NEFH,1881
KCNJ9,494.3333333
DDX41,367.1428571
FBLN2,1685.375
CDC42BPB,1382.666667
HOXB5,2857
TPRKB,892.5
PARD3B,962.7142857
FGR,600.6666667
SETD1B,1682.2
TRMT61B,1087.8
CD19,1067.875
SIN3A,1605.785714
ZEB2,639.75
SCG3,911.25
CNTD1,38
SFXN2,159.6666667
IL22,1512.2
IL6R,2054
OBSL1,992.9333333
SNX33,955.75
STK32B,1242.4
CACNG8,3435
RASSF1,75
SBF2,1038.8125
RSKR,97.33333333
ANAPC11,2509.5
SERTM1,948
PLCD1,1678
GABRR3,1336.2
KANK1,1173.909091
MEIS2,1369.272727
NLGN2,568.3333333
CDC5L,1570.333333
HSPH1,1438.75
IL16,689.3
TCERG1,1057.8
PNPLA2,94
SNRNP35,1929
HMSD,5297
DLST,797.5
KCNA3,3376
EMP1,60
TELO2,2415.5
CCT5,870.6666667
ITGA2,795.2222222
ARHGEF1,1243.1
NSUN3,174.6666667
ITGA1,939
CD52,765
SNX32,1413.75
EIF4G3,1381.636364
ANTXR2,327.25
MICALL2,3304.666667
NONO,584
BCKDHA,1739.2
LDLR,809.6
NETO2,1231
SHKBP1,1037.25
MAP2K1,2323
ERH,1657.5
MUC6,1174.1
CLPTM1,170.75
HTATIP2,1496.75
ROM1,2192.333333
ADAMTS13,297.3636364
IGFBP5,1203
CHD9,1687.714286
LTK,1640.428571
ZNF804A,1337.25
RUVBL1,1814
GJA1,1130.6
TSG101,217
GLB1L2,1123
CCL26,818.5
TXNRD1,2282.5
OVGP1,2106.2
TSC2,662.9
NRXN3,1312.428571
BPIFB2,1423.5
PARP2,1514.2
TXLNB,1217.8
RERG,1938
CYBB,1553.714286
ATP2C2,1430.454545
GNAI1,2671.5
PTGFRN,120.75
RRP1,926.7142857
CSRP2,2395
TNXB,731.625
LAMTOR1,74.5
GALNT15,2823
CROT,995
CABLES2,1600.2
BCL2L11,973.8333333
CCNE1,206
DHX33,872
CD58,2783.666667
CHPT1,2485.5
ITGB2,898.3076923
LDB2,439.7142857
OCIAD2,246
COL18A1,979
CHRNA2,1343.4
TRIP11,1036.533333
SLC9A3R2,212
RPS9,2407.5
ING2,873
KRTAP4-1,1541.666667
DNTTIP2,1924.5
CDCA4,637.6666667
PAK2,667.25
AQP1,227
AOX1,1299.75
EYS,942.6818182
KCNF1,1006.285714
GSTO1,1311
NXPE4,1006
MYO1E,1403.125
RAB11FIP3,508
CCDC122,5297
PDE6B,181
ARG2,1401.5
NECAB2,3278.666667
NAIP,1104
RPL7,130
KRTAP4-2,455
FOSL2,174.75
IL34,1940
MRPL11,402
CLDND1,114.6666667
SAP18,2139
CHL1,939.1666667
RGS7,538.3333333
PELO,150.3333333
CLCN4,948.2
GPR12,1135.666667
GSC,60
CD40,1229
BCL9L,745.5
PFKFB4,1164.666667
ACOT4,4759
INPP5A,611.4
THBS3,1898.5
FTO,2840
HES4,263
HSPB3,192.5
FBXW2,1474
PLEK,112
KLHL2,868
PMS1,211.9
CCNK,2535.333333
LGSN,761
PPIF,319.75
TESK2,1454.5
STMN3,222
PABPC1L,1511
WDR35,1540.285714
KLHL26,73.5
ARMC1,1912.666667
DISP2,1537.25
FAM110B,1351
GATA2,1063.6
FNBP1,2087.166667
TRHDE,762.3125
KLF8,39
GCH1,1174.25
SIRT5,5297
CNKSR2,502.7333333
ARHGAP32,924.7142857
PARD3,1140
ACSS1,1304.25
PRSS58,441.3333333
APOB,663.7222222
TEP1,459.7058824
TRPM8,903.5
MRPL35,216
GRWD1,211.25
EXOC3L2,1836
HCRTR2,150
LY6G5B,2813
CAD,1019.866667
PDZRN3,635.5
SH3TC2,280
MRPS26,1308
ZNF24,330.3333333
ALB,2366.6
NHLRC1,146.6666667
RPL23A,164.6666667
AKR1D1,1015
WDR88,36
RAB18,53
ESCO2,2906
TMA16,130
ZNF98,1362.333333
SKP1,2152.25
GFPT1,158.6666667
ANAPC5,439
MAX,2686.5
DAZAP1,1087
MRPS18A,3435
ELL3,1681.333333
DNAJC5G,2435.5
POLR3A,1015.461538
SLC13A1,2754.2
NAGPA,2589.5
KLK7,166
ZNF467,194.5
SYT13,1602
FAM20C,237.5
BCAR1,1213.375
PPP2R5C,1619.6
GNRH2,3435
GOLT1B,270
EIF3A,986.4444444
NANS,2254.5
PANX2,1973.333333
NIPSNAP1,4759
KRT27,1206.714286
TIPIN,2709
ZNF585B,1857.5
TRIM35,980.25
TAF1B,2746.5
NRXN1,1208.923077
FUS,977.5
ACOX3,1405.4
APOOL,976.1666667
TNFRSF10D,200
SCGB1D2,441
MORN2,99
SEC14L1,2057.666667
TRIM16,1662.333333
ACVR2A,375.8461538
TNNI2,156
HAS1,78.5
UNC13D,1649
OR4K2,753.125
HSPA1L,1404.333333
PDE6A,1889
KPNA6,1838.333333
CDKL4,1008.4
TIRAP,1948.333333
C12orf57,41
SLC17A6,620.7142857
EPHA8,1212.8
XPA,75
CD209,1421.333333
